,name,year_start,year_end,position,height,weight,height_in_meters
390,Jake Bornheimer,1949,1950,F,6-5,200.0,1.9558000000000002
391,Lazaro Borrell,2000,2000,F,6-8,220.0,2.032
392,Ike Borsavage,1951,1951,C,6-8,220.0,2.032
393,Vince Boryla,1950,1954,F,6-5,210.0,1.9558000000000002
394,Chris Bosh,2004,2016,F,6-11,235.0,2.1082
395,Jim Bostic,1978,1978,F,6-7,225.0,2.0066
396,Lawrence Boston,1980,1980,F,6-8,225.0,2.032
397,Tom Boswell,1976,1984,F,6-9,220.0,2.0574000000000003
398,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257.0,2.1336
399,Don Boven,1950,1953,F,6-4,210.0,1.9304000000000001
400,Cal Bowdler,2000,2002,F,6-10,245.0,2.0828
401,Bruce Bowen,1997,2009,F,6-7,185.0,2.0066
402,Ryan Bowen,2000,2010,F,6-7,215.0,2.0066
403,Tommie Bowens,1968,1970,F,6-8,220.0,2.032
404,Anthony Bowie,1989,1998,G,6-6,190.0,1.9812000000000003
405,Sam Bowie,1985,1995,C,7-1,235.0,2.159
406,Orbie Bowling,1968,1968,C,6-10,215.0,2.0828
407,Ira Bowman,2000,2002,G,6-5,195.0,1.9558000000000002
408,Nate Bowman,1967,1972,C,6-10,230.0,2.0828
409,Donnie Boyce,1996,1997,G,6-5,196.0,1.9558000000000002
410,Dennis Boyd,1979,1979,G,6-1,175.0,1.8542000000000003
411,Freddie Boyd,1973,1978,G,6-2,180.0,1.8796000000000002
412,Ken Boyd,1975,1975,F,6-5,195.0,1.9558000000000002
413,Earl Boykins,1999,2012,G,5-5,135.0,1.651
414,Harry Boykoff,1950,1951,C,6-10,225.0,2.0828
415,Winford Boynes,1979,1981,G,6-6,185.0,1.9812000000000003
416,Cedric Bozeman,2007,2007,G,6-6,207.0,1.9812000000000003
417,Steve Bracey,1973,1975,G,6-1,175.0,1.8542000000000003
418,Craig Brackins,2011,2012,F,6-10,230.0,2.0828
419,Gary Bradds,1965,1971,F,6-8,210.0,2.032
420,Alex Bradley,1982,1982,F,6-6,215.0,1.9812000000000003
421,Alonzo Bradley,1978,1980,F,6-6,190.0,1.9812000000000003
422,Avery Bradley,2011,2018,G,6-2,180.0,1.8796000000000002
423,Bill Bradley,1968,1968,G,5-11,165.0,1.8034
424,Bill Bradley,1968,1977,F,6-5,205.0,1.9558000000000002
425,Charles Bradley,1982,1984,G,6-5,215.0,1.9558000000000002
426,Dudley Bradley,1980,1989,G,6-6,195.0,1.9812000000000003
427,Jim Bradley,1974,1976,F,6-8,215.0,2.032
428,Joe Bradley,1950,1950,G,6-3,175.0,1.9050000000000002
429,Michael Bradley,2002,2006,F,6-10,245.0,2.0828
430,Shawn Bradley,1994,2005,C,7-6,235.0,2.286
431,Tony Bradley,2018,2018,F,6-11,240.0,2.1082
432,Mark Bradtke,1997,1997,C,6-10,265.0,2.0828
433,Marques Bragg,1996,1996,F,6-8,230.0,2.032
434,Torraye Braggs,2004,2005,F,6-8,245.0,2.032
435,A.J. Bramlett,2000,2000,C,6-10,227.0,2.0828
436,Adrian Branch,1987,1990,F,6-7,185.0,2.0066
437,Elton Brand,2000,2016,F,6-8,275.0,2.032
438,Terrell Brandon,1992,2002,G,5-11,180.0,1.8034
439,Bob Brannum,1950,1955,F,6-5,215.0,1.9558000000000002
440,Brad Branson,1982,1983,C,6-10,220.0,2.0828
441,Jesse Branson,1966,1968,F,6-7,195.0,2.0066
442,Jim Brasco,1953,1953,G,6-1,170.0,1.8542000000000003
443,Mike Bratz,1978,1986,G,6-2,185.0,1.8796000000000002
444,Carl Braun,1948,1962,G,6-5,180.0,1.9558000000000002
445,Tim Breaux,1995,1998,F,6-7,215.0,2.0066
446,J.R. Bremer,2003,2004,G,6-2,185.0,1.8796000000000002
447,Pete Brennan,1959,1959,F,6-6,205.0,1.9812000000000003
448,Tom Brennan,1955,1955,F,6-3,195.0,1.9050000000000002
449,Randy Breuer,1984,1994,C,7-3,230.0,2.2098
450,Corey Brewer,2008,2018,F,6-9,186.0,2.0574000000000003
451,Jamison Brewer,2002,2005,G,6-4,184.0,1.9304000000000001
452,Jim Brewer,1974,1982,F,6-9,210.0,2.0574000000000003
453,Ron Brewer,1979,1986,G,6-4,180.0,1.9304000000000001
454,Ronnie Brewer,2007,2014,G,6-7,220.0,2.0066
455,Primoz Brezec,2002,2010,C,7-2,252.0,2.1844
456,Frankie Brian,1950,1956,G,6-1,180.0,1.8542000000000003
457,Frank Brickowski,1985,1997,F,6-9,240.0,2.0574000000000003
458,Junior Bridgeman,1976,1987,F,6-5,210.0,1.9558000000000002
459,Bill Bridges,1963,1975,F,6-6,228.0,1.9812000000000003
460,Al Brightman,1947,1947,F,6-2,195.0,1.8796000000000002
461,Aud Brindley,1947,1947,F,6-4,175.0,1.9304000000000001
462,John Brisker,1970,1975,F,6-5,210.0,1.9558000000000002
463,Allan Bristow,1974,1983,F,6-7,210.0,2.0066
464,Tyrone Britt,1968,1968,G,6-4,190.0,1.9304000000000001
465,Wayman Britt,1978,1978,G,6-2,185.0,1.8796000000000002
466,Mike Brittain,1986,1987,C,7-0,235.0,2.1336
467,Dave Britton,1981,1981,G,6-4,180.0,1.9304000000000001
468,Jon Brockman,2010,2012,F,6-7,255.0,2.0066
469,Jim Brogan,1982,1983,G,6-4,185.0,1.9304000000000001
470,Malcolm Brogdon,2017,2018,G,6-5,215.0,1.9558000000000002
471,Gary Brokaw,1975,1978,G,6-4,178.0,1.9304000000000001
472,Price Brookfield,1949,1950,F,6-4,185.0,1.9304000000000001
473,Clarence Brookins,1971,1971,F,6-4,190.0,1.9304000000000001
474,Aaron Brooks,2008,2018,G,6-0,161.0,1.8288000000000002
475,Dillon Brooks,2018,2018,G,6-6,220.0,1.9812000000000003
476,Kevin Brooks,1992,1994,F,6-6,200.0,1.9812000000000003
477,MarShon Brooks,2012,2014,G,6-5,200.0,1.9558000000000002
478,Michael Brooks,1981,1988,F,6-7,220.0,2.0066
479,Scott Brooks,1989,1998,G,5-11,165.0,1.8034
480,Andre Brown,2007,2009,F,6-9,245.0,2.0574000000000003
481,Anthony Brown,2016,2017,F,6-7,210.0,2.0066
482,Bob Brown,1949,1950,F,6-4,205.0,1.9304000000000001
483,Bobby Brown,2009,2018,G,6-2,175.0,1.8796000000000002
484,Chucky Brown,1990,2002,F,6-7,214.0,2.0066
485,Damone Brown,2002,2005,F,6-9,200.0,2.0574000000000003
486,Darrell Brown,1949,1949,F,6-2,175.0,1.8796000000000002
487,Dee Brown,1991,2002,G,6-1,160.0,1.8542000000000003
488,Dee Brown,2007,2009,G,6-0,185.0,1.8288000000000002
489,Derrick Brown,2010,2012,F,6-7,225.0,2.0066
490,Devin Brown,2003,2010,G,6-5,220.0,1.9558000000000002
491,Ernest Brown,2002,2002,C,7-0,244.0,2.1336
492,Fred Brown,1972,1984,G,6-3,182.0,1.9050000000000002
493,George Brown,1958,1958,F,6-6,190.0,1.9812000000000003
494,Gerald Brown,1999,1999,G,6-4,210.0,1.9304000000000001
495,Harold Brown,1947,1947,G,6-0,155.0,1.8288000000000002
496,Jabari Brown,2015,2015,G,6-4,215.0,1.9304000000000001
497,Jaylen Brown,2017,2018,F,6-7,225.0,2.0066
498,John Brown,1974,1980,F,6-7,220.0,2.0066
499,Kedrick Brown,2002,2005,G,6-7,222.0,2.0066
500,Kwame Brown,2002,2013,F,6-11,270.0,2.1082
501,Larry Brown,1968,1972,G,5-9,160.0,1.7526
502,Leon Brown,1947,1947,F,6-3,190.0,1.9050000000000002
503,Lewis Brown,1981,1981,C,6-11,225.0,2.1082
504,Lorenzo Brown,2014,2018,G,6-5,189.0,1.9558000000000002
505,Marcus Brown,1997,2000,G,6-3,185.0,1.9050000000000002
506,Markel Brown,2015,2016,G,6-3,190.0,1.9050000000000002
507,Mike Brown,1987,1997,C,6-9,257.0,2.0574000000000003
508,Myron Brown,1992,1992,G,6-3,180.0,1.9050000000000002
509,P.J. Brown,1994,2008,F,6-11,225.0,2.1082
510,Randy Brown,1992,2003,G,6-2,190.0,1.8796000000000002
511,Raymond Brown,1990,1990,F,6-8,220.0,2.032
512,Rickey Brown,1981,1985,C,6-10,215.0,2.0828
513,Roger Brown,1968,1975,F,6-5,205.0,1.9558000000000002
514,Roger Brown,1973,1980,C,6-11,225.0,2.1082
515,Shannon Brown,2007,2015,G,6-4,205.0,1.9304000000000001
516,Stan Brown,1948,1952,F,6-3,200.0,1.9050000000000002
517,Sterling Brown,2018,2018,G,6-5,225.0,1.9558000000000002
518,Tierre Brown,2002,2005,G,6-2,189.0,1.8796000000000002
519,Tony Brown,1985,1992,F,6-6,185.0,1.9812000000000003
520,Jim Browne,1949,1950,C,6-10,235.0,2.0828
521,Stanley Brundy,1990,1990,F,6-6,210.0,1.9812000000000003
522,Brian Brunkhorst,1969,1969,F,6-6,208.0,1.9812000000000003
523,George Bruns,1973,1973,G,6-0,160.0,1.8288000000000002
524,Rick Brunson,1998,2006,G,6-4,190.0,1.9304000000000001
525,Nicolas Brussino,2017,2018,G,6-7,195.0,2.0066
526,Em Bryant,1965,1972,G,6-1,175.0,1.8542000000000003
527,Joe Bryant,1976,1983,F,6-9,185.0,2.0574000000000003
