,name,year_start,year_end,position,height,weight,height_in_meters
3714,Jeff Slade,1963,1963,F,6-6,220.0,1.9812000000000003
3715,Reggie Slater,1995,2003,F,6-7,215.0,2.0066
3716,Jim Slaughter,1952,1952,C,6-11,210.0,2.1082
3717,Jose Slaughter,1983,1983,G,6-5,205.0,1.9558000000000002
3718,Tamar Slay,2003,2005,G,6-8,215.0,2.032
3719,Donald Sloan,2012,2016,G,6-3,205.0,1.9050000000000002
3720,Jerry Sloan,1966,1976,G,6-5,195.0,1.9558000000000002
3721,Uros Slokar,2007,2007,F,6-10,238.0,2.0828
3722,Tom Sluby,1985,1985,G,6-4,200.0,1.9304000000000001
3723,Keith Smart,1989,1989,G,6-1,175.0,1.8542000000000003
3724,Marcus Smart,2015,2018,G,6-4,220.0,1.9304000000000001
3725,Belus Smawley,1947,1952,G,6-1,195.0,1.8542000000000003
3726,Jack Smiley,1949,1950,F,6-3,190.0,1.9050000000000002
3727,Adrian Smith,1962,1972,G,6-1,180.0,1.8542000000000003
3728,Al Smith,1972,1976,G,6-1,185.0,1.8542000000000003
3729,Bill Smith,1962,1962,G,6-5,190.0,1.9558000000000002
3730,Bingo Smith,1970,1980,F,6-5,195.0,1.9558000000000002
3731,Bobby Smith,1960,1962,G,6-4,190.0,1.9304000000000001
3732,Charles Smith,1989,1997,F,6-10,230.0,2.0828
3733,Charles Smith,1990,1996,G,6-1,160.0,1.8542000000000003
3734,Charles Smith,1998,2006,G,6-4,194.0,1.9304000000000001
3735,Chris Smith,1993,1995,G,6-3,190.0,1.9050000000000002
3736,Chris Smith,2014,2014,G,6-2,200.0,1.8796000000000002
3737,Clinton Smith,1987,1991,F,6-6,210.0,1.9812000000000003
3738,Craig Smith,2007,2012,F,6-7,250.0,2.0066
3739,Deb Smith,1947,1947,F,6-3,180.0,1.9050000000000002
3740,Dennis Smith,2018,2018,G,6-3,195.0,1.9050000000000002
3741,Derek Smith,1983,1991,G,6-6,205.0,1.9812000000000003
3742,Don Smith,1949,1949,G,6-2,190.0,1.8796000000000002
3743,Don Smith,1975,1975,G,6-0,160.0,1.8288000000000002
3744,Donta Smith,2005,2006,G,6-7,215.0,2.0066
3745,Doug Smith,1992,1996,F,6-10,220.0,2.0828
3746,Ed Smith,1954,1954,F,6-6,180.0,1.9812000000000003
3747,Elmore Smith,1972,1979,C,7-0,250.0,2.1336
3748,Garfield Smith,1971,1973,C,6-9,235.0,2.0574000000000003
3749,Greg Smith,1969,1976,F,6-5,195.0,1.9558000000000002
3750,Greg Smith,2012,2016,C,6-10,250.0,2.0828
3751,Ish Smith,2011,2018,G,6-0,175.0,1.8288000000000002
3752,J.R. Smith,2005,2018,G,6-6,225.0,1.9812000000000003
3753,Jabari Smith,2001,2005,C,6-11,250.0,2.1082
3754,Jason Smith,2008,2018,F,7-0,245.0,2.1336
3755,Jerry Smith,2012,2012,G,6-2,190.0,1.8796000000000002
3756,Jim Smith,1982,1983,F,6-9,225.0,2.0574000000000003
3757,Joe Smith,1996,2011,F,6-10,225.0,2.0828
3758,John Smith,1969,1970,C,7-0,235.0,2.1336
3759,Josh Smith,2005,2018,F,6-9,225.0,2.0574000000000003
3760,Keith Smith,1987,1987,G,6-3,180.0,1.9050000000000002
3761,Ken Smith,1976,1976,F,6-7,185.0,2.0066
3762,Kenny Smith,1988,1997,G,6-3,170.0,1.9050000000000002
3763,LaBradford Smith,1992,1994,G,6-3,200.0,1.9050000000000002
3764,Larry Smith,1981,1993,F,6-8,215.0,2.032
3765,Leon Smith,2002,2004,C,6-10,235.0,2.0828
3766,Michael Smith,1990,1995,F,6-10,225.0,2.0828
3767,Michael Smith,1995,2001,F,6-8,230.0,2.032
3768,Mike Smith,2001,2001,F,6-8,195.0,2.032
3769,Nolan Smith,2012,2013,G,6-2,185.0,1.8796000000000002
3770,Otis Smith,1987,1992,G,6-5,210.0,1.9558000000000002
3771,Pete Smith,1973,1973,F,6-6,205.0,1.9812000000000003
3772,Phil Smith,1975,1983,G,6-4,185.0,1.9304000000000001
3773,Randy Smith,1972,1983,G,6-3,180.0,1.9050000000000002
3774,Reggie Smith,1993,1994,C,6-10,240.0,2.0828
3775,Robert Smith,1978,1985,G,5-11,165.0,1.8034
3776,Russ Smith,2015,2016,G,6-0,165.0,1.8288000000000002
3777,Sam Smith,1968,1971,F,6-7,230.0,2.0066
3778,Sam Smith,1979,1980,G,6-4,200.0,1.9304000000000001
3779,Steve Smith,1992,2005,G,6-7,200.0,2.0066
3780,Steven Smith,2007,2007,F,6-8,235.0,2.032
3781,Stevin Smith,1997,1997,G,6-2,208.0,1.8796000000000002
3782,Theron Smith,2004,2005,F,6-8,225.0,2.032
3783,Tony Smith,1991,2001,G,6-3,185.0,1.9050000000000002
3784,William Smith,1972,1973,C,7-0,220.0,2.1336
3785,Willie Smith,1977,1980,G,6-2,170.0,1.8796000000000002
3786,Rik Smits,1989,2000,C,7-4,250.0,2.2352
3787,Mike Smrek,1986,1992,C,7-0,250.0,2.1336
3788,Joe Smyth,1954,1954,F,6-3,215.0,1.9050000000000002
3789,Tony Snell,2014,2018,G,6-7,200.0,2.0066
3790,Eric Snow,1996,2008,G,6-3,190.0,1.9050000000000002
3791,Dick Snyder,1967,1979,G,6-5,207.0,1.9558000000000002
3792,Kirk Snyder,2005,2008,G,6-6,225.0,1.9812000000000003
3793,Chips Sobek,1950,1950,G,6-0,180.0,1.8288000000000002
3794,Ricky Sobers,1976,1986,G,6-3,198.0,1.9050000000000002
3795,Ron Sobie,1957,1960,G,6-3,185.0,1.9050000000000002
3796,Mike Sojourner,1975,1977,C,6-9,225.0,2.0574000000000003
3797,Willie Sojourner,1972,1975,C,6-8,225.0,2.032
3798,Will Solomon,2002,2009,G,6-1,185.0,1.8542000000000003
3799,Willie Somerset,1966,1969,G,5-8,170.0,1.7272
3800,Darius Songaila,2004,2011,F,6-9,248.0,2.0574000000000003
3801,Dave Sorenson,1971,1973,F,6-8,225.0,2.032
3802,James Southerland,2014,2014,F,6-8,215.0,2.032
3803,Gino Sovran,1947,1947,F,6-2,175.0,1.8796000000000002
3804,Pape Sow,2005,2007,F,6-10,250.0,2.0828
3805,Ken Spain,1971,1971,C,6-9,225.0,2.0574000000000003
3806,Jim Spanarkel,1980,1984,G,6-5,190.0,1.9558000000000002
3807,Vassilis Spanoulis,2007,2007,G,6-4,195.0,1.9304000000000001
3808,Daniel Sparks,1969,1970,F,6-8,200.0,2.032
3809,Guy Sparrow,1958,1960,F,6-6,218.0,1.9812000000000003
3810,Rory Sparrow,1981,1992,G,6-2,175.0,1.8796000000000002
3811,Odie Spears,1949,1957,G,6-5,205.0,1.9558000000000002
3812,Art Spector,1947,1950,F,6-4,200.0,1.9304000000000001
3813,Marreese Speights,2009,2018,C,6-10,255.0,2.0828
3814,Andre Spencer,1993,1994,F,6-6,210.0,1.9812000000000003
3815,Elmore Spencer,1993,1997,C,7-0,270.0,2.1336
3816,Felton Spencer,1991,2002,C,7-0,265.0,2.1336
3817,Lou Spicer,1947,1947,F,6-2,195.0,1.8796000000000002
3818,Craig Spitzer,1968,1968,C,7-0,225.0,2.1336
3819,Tiago Splitter,2011,2017,F,6-11,245.0,2.1082
3820,Art Spoelstra,1955,1958,C,6-9,220.0,2.0574000000000003
3821,Bruce Spraggins,1968,1968,F,6-5,188.0,1.9558000000000002
3822,Latrell Sprewell,1993,2005,G,6-5,190.0,1.9558000000000002
3823,Larry Spriggs,1982,1986,F,6-7,230.0,2.0066
3824,Jim Springer,1949,1949,C,6-9,235.0,2.0574000000000003
3825,Jim Spruill,1949,1949,G,6-2,225.0,1.8796000000000002
3826,Ryan Stack,1999,2000,F,6-11,215.0,2.1082
3827,Jerry Stackhouse,1996,2013,G,6-6,218.0,1.9812000000000003
3828,Kevin Stacom,1975,1982,G,6-3,185.0,1.9050000000000002
3829,Erv Staggs,1970,1970,F,6-6,195.0,1.9812000000000003
3830,Bud Stallworth,1973,1977,F,6-5,190.0,1.9558000000000002
3831,Dave Stallworth,1966,1975,F,6-7,200.0,2.0066
3832,Ed Stanczak,1950,1951,F,6-1,185.0,1.8542000000000003
3833,Terence Stansbury,1985,1987,G,6-5,170.0,1.9558000000000002
3834,John Starks,1989,2002,G,6-3,180.0,1.9050000000000002
3835,Keith Starr,1977,1977,G,6-6,190.0,1.9812000000000003
3836,Nik Stauskas,2015,2018,G,6-6,205.0,1.9812000000000003
3837,Larry Staverman,1959,1964,F,6-7,205.0,2.0066
3838,Larry Steele,1972,1980,G,6-5,180.0,1.9558000000000002
3839,Matt Steigenga,1997,1997,F,6-7,225.0,2.0066
3840,Vladimir Stepania,1999,2004,C,7-0,236.0,2.1336
3841,D.J. Stephens,2014,2014,G,6-5,188.0,1.9558000000000002
3842,Everette Stephens,1989,1991,G,6-2,175.0,1.8796000000000002
3843,Jack Stephens,1956,1956,G,6-3,185.0,1.9050000000000002
3844,Joe Stephens,1997,2000,F,6-7,210.0,2.0066
3845,Lance Stephenson,2011,2018,G,6-5,230.0,1.9558000000000002
3846,Alex Stepheson,2016,2016,F,6-10,270.0,2.0828
3847,Brook Steppe,1983,1989,G,6-5,195.0,1.9558000000000002
3848,Barry Stevens,1993,1993,G,6-5,195.0,1.9558000000000002
3849,Wayne Stevens,1960,1960,F,6-3,185.0,1.9050000000000002
3850,DeShawn Stevenson,2001,2013,G,6-5,210.0,1.9558000000000002
3851,Dennis Stewart,1971,1971,F,6-6,220.0,1.9812000000000003
3852,Kebu Stewart,1998,1998,F,6-8,239.0,2.032
3853,Larry Stewart,1992,1997,F,6-8,220.0,2.032
3854,Michael Stewart,1998,2005,C,6-10,230.0,2.0828
3855,Norm Stewart,1957,1957,F,6-5,205.0,1.9558000000000002
3856,Greg Stiemsma,2012,2015,C,6-11,260.0,2.1082
3857,Steve Stipanovich,1984,1988,C,6-11,245.0,2.1082
3858,Bryant Stith,1993,2002,G,6-5,208.0,1.9558000000000002
3859,Sam Stith,1962,1962,G,6-2,185.0,1.8796000000000002
3860,Tom Stith,1963,1963,F,6-5,210.0,1.9558000000000002
3861,Alex Stivrins,1986,1993,F,6-8,220.0,2.032
3862,David Stockton,2015,2015,G,5-11,165.0,1.8034
3863,John Stockton,1985,2003,G,6-1,170.0,1.8542000000000003
3864,Peja Stojakovic,1999,2011,F,6-9,220.0,2.0574000000000003
3865,Ed Stokes,1998,1998,C,7-0,264.0,2.1336
3866,Greg Stokes,1986,1990,F,6-10,220.0,2.0828
3867,Jarnell Stokes,2015,2017,F,6-9,263.0,2.0574000000000003
3868,Maurice Stokes,1956,1958,F,6-7,232.0,2.0066
3869,Art Stolkey,1947,1947,G,6-1,180.0,1.8542000000000003
3870,Randy Stoll,1968,1968,C,6-7,235.0,2.0066
3871,Diamond Stone,2017,2017,C,6-11,255.0,2.1082
3872,George Stone,1969,1972,F,6-7,195.0,2.0066
3873,Julyan Stone,2012,2018,G,6-6,200.0,1.9812000000000003
3874,Awvee Storey,2005,2008,G,6-6,222.0,1.9812000000000003
3875,Damon Stoudamire,1996,2008,G,5-10,171.0,1.778
3876,Salim Stoudamire,2006,2008,G,6-1,179.0,1.8542000000000003
3877,Amar'e Stoudemire,2003,2016,F,6-10,245.0,2.0828
3878,Paul Stovall,1973,1974,F,6-4,215.0,1.9304000000000001
3879,D.J. Strawberry,2008,2008,G,6-5,201.0,1.9558000000000002
3880,Joe Strawder,1966,1968,C,6-10,235.0,2.0828
3881,Bill Stricker,1971,1971,F,6-9,210.0,2.0574000000000003
3882,Erick Strickland,1997,2005,G,6-3,210.0,1.9050000000000002
3883,Mark Strickland,1995,2003,F,6-9,210.0,2.0574000000000003
3884,Rod Strickland,1989,2005,G,6-3,175.0,1.9050000000000002
3885,Roger Strickland,1964,1964,F,6-5,200.0,1.9558000000000002
3886,John Stroeder,1988,1989,F,6-10,260.0,2.0828
3887,Derek Strong,1992,2001,F,6-8,220.0,2.032
3888,Lamont Strothers,1992,1993,G,6-4,190.0,1.9304000000000001
3889,John Stroud,1981,1981,F,6-7,215.0,2.0066
3890,Red Stroud,1968,1968,G,6-0,160.0,1.8288000000000002
3891,Rodney Stuckey,2008,2017,G,6-5,210.0,1.9558000000000002
3892,Gene Stump,1948,1950,F,6-2,185.0,1.8796000000000002
3893,Stan Stutz,1947,1949,G,5-10,170.0,1.778
3894,Gary Suiter,1971,1971,C,6-9,225.0,2.0574000000000003
3895,Jared Sullinger,2013,2017,F,6-9,260.0,2.0574000000000003
3896,DaJuan Summers,2010,2013,F,6-8,230.0,2.032
3897,Barry Sumpter,1989,1989,F,6-11,215.0,2.1082
3898,Don Sunderlage,1954,1955,G,6-1,180.0,1.8542000000000003
3899,Bruno Sundov,1999,2005,C,7-2,220.0,2.1844
3900,Jon Sundvold,1984,1992,G,6-2,170.0,1.8796000000000002
3901,Bob Sura,1996,2005,G,6-5,200.0,1.9558000000000002
3902,Dick Surhoff,1953,1954,F,6-4,210.0,1.9304000000000001
3903,George Sutor,1968,1970,C,6-8,235.0,2.032
3904,Dane Suttle,1984,1985,G,6-3,190.0,1.9050000000000002
3905,Greg Sutton,1992,1996,G,6-2,170.0,1.8796000000000002
3906,Keith Swagerty,1969,1970,F,6-7,235.0,2.0066
3907,Bennie Swain,1959,1959,F,6-8,220.0,2.032
3908,Caleb Swanigan,2018,2018,F,6-8,250.0,2.032
3909,Norm Swanson,1954,1954,F,6-6,210.0,1.9812000000000003
3910,Dan Swartz,1963,1963,F,6-4,215.0,1.9304000000000001
3911,Mike Sweetney,2004,2007,F,6-8,275.0,2.032
3912,Robert Swift,2005,2009,C,7-0,245.0,2.1336
3913,Skeeter Swift,1970,1974,G,6-3,204.0,1.9050000000000002
3914,Stromile Swift,2001,2009,F,6-9,225.0,2.0574000000000003
3915,Aaron Swinson,1995,1995,F,6-5,230.0,1.9558000000000002
3916,Pape Sy,2011,2011,F,6-7,225.0,2.0066
3917,Buck Sydnor,1947,1947,G,5-10,175.0,1.778
3918,Larry Sykes,1996,1996,F,6-9,255.0,2.0574000000000003
3919,Brett Szabo,1997,1997,C,6-11,230.0,2.1082
3920,Wally Szczerbiak,2000,2009,F,6-7,244.0,2.0066
3921,Walt Szczerbiak,1972,1972,F,6-6,210.0,1.9812000000000003
3922,Zan Tabak,1995,2001,C,7-0,245.0,2.1336
3923,Yuta Tabuse,2005,2005,G,5-9,165.0,1.7526
3924,Chris Taft,2006,2006,F,6-10,260.0,2.0828
3925,Sid Tanenbaum,1948,1949,G,6-0,160.0,1.8288000000000002
3926,Dragan Tarlac,2001,2001,C,6-10,260.0,2.0828
3927,Roy Tarpley,1987,1995,C,6-11,230.0,2.1082
3928,Levern Tart,1968,1971,G,6-2,195.0,1.8796000000000002
3929,Earl Tatum,1977,1980,G,6-5,185.0,1.9558000000000002
3930,Jayson Tatum,2018,2018,F,6-8,205.0,2.032
3931,Edy Tavares,2016,2017,C,7-3,260.0,2.2098
3932,Anthony Taylor,1989,1989,G,6-4,175.0,1.9304000000000001
3933,Brian Taylor,1973,1982,G,6-2,185.0,1.8796000000000002
3934,Donell Taylor,2006,2007,G,6-6,180.0,1.9812000000000003
3935,Fatty Taylor,1970,1977,G,6-0,175.0,1.8288000000000002
3936,Fred Taylor,1971,1972,G,6-5,180.0,1.9558000000000002
3937,Isaiah Taylor,2017,2018,G,6-3,170.0,1.9050000000000002
3938,Jay Taylor,1990,1990,G,6-3,190.0,1.9050000000000002
3939,Jeff Taylor,1983,1987,G,6-4,175.0,1.9304000000000001
3940,Jeffery Taylor,2013,2015,F,6-7,225.0,2.0066
3941,Jermaine Taylor,2010,2011,G,6-4,210.0,1.9304000000000001
3942,Johnny Taylor,1998,2000,F,6-9,220.0,2.0574000000000003
3943,Leonard Taylor,1990,1990,F,6-8,220.0,2.032
3944,Maurice Taylor,1998,2007,F,6-9,260.0,2.0574000000000003
3945,Mike Taylor,2009,2009,G,6-2,165.0,1.8796000000000002
3946,Oliver Taylor,1971,1974,G,6-2,194.0,1.8796000000000002
3947,Ronald Taylor,1970,1972,C,7-1,265.0,2.159
3948,Tyshawn Taylor,2013,2014,G,6-3,185.0,1.9050000000000002
3949,Vince Taylor,1983,1983,G,6-5,180.0,1.9558000000000002
3950,Terry Teagle,1983,1993,F,6-5,195.0,1.9558000000000002
3951,Jeff Teague,2010,2018,G,6-2,186.0,1.8796000000000002
3952,Marquis Teague,2013,2014,G,6-2,189.0,1.8796000000000002
3953,Mirza Teletovic,2013,2018,F,6-9,242.0,2.0574000000000003
3954,Sebastian Telfair,2005,2015,G,6-0,165.0,1.8288000000000002
3955,Collis Temple,1975,1975,F,6-8,220.0,2.032
3956,Garrett Temple,2010,2018,G,6-6,195.0,1.9812000000000003
3957,Milos Teodosic,2018,2018,G,6-5,196.0,1.9558000000000002
3958,Ira Terrell,1977,1979,F,6-8,200.0,2.032
3959,Carlos Terry,1981,1983,G,6-5,210.0,1.9558000000000002
3960,Chuck Terry,1973,1977,F,6-6,215.0,1.9812000000000003
3961,Claude Terry,1973,1978,G,6-4,195.0,1.9304000000000001
3962,Jason Terry,2000,2018,G,6-2,185.0,1.8796000000000002
3963,Hasheem Thabeet,2010,2014,C,7-3,263.0,2.2098
3964,Tom Thacker,1964,1971,G,6-2,170.0,1.8796000000000002
3965,Floyd Theard,1970,1970,G,6-1,170.0,1.8542000000000003
3966,Daniel Theis,2018,2018,C,6-9,215.0,2.0574000000000003
3967,Reggie Theus,1979,1991,G,6-7,190.0,2.0066
3968,Peter Thibeaux,1985,1986,F,6-7,210.0,2.0066
3969,Bill Thieben,1957,1958,F,6-7,215.0,2.0066
3970,Justus Thigpen,1970,1974,G,6-1,160.0,1.8542000000000003
3971,David Thirdkill,1983,1987,F,6-7,195.0,2.0066
3972,Adonis Thomas,2014,2014,F,6-7,200.0,2.0066
3973,Billy Thomas,2005,2008,G,6-4,208.0,1.9304000000000001
3974,Carl Thomas,1992,1998,G,6-4,175.0,1.9304000000000001
3975,Charles Thomas,1992,1992,G,6-3,175.0,1.9050000000000002
3976,Etan Thomas,2002,2011,F,6-9,256.0,2.0574000000000003
3977,Irving Thomas,1991,1991,F,6-8,225.0,2.032
3978,Isaiah Thomas,2012,2017,G,5-9,185.0,1.7526
3979,Isiah Thomas,1982,1994,G,6-1,180.0,1.8542000000000003
3980,Jamel Thomas,2000,2001,F,6-6,215.0,1.9812000000000003
3981,James Thomas,2005,2006,F,6-8,235.0,2.032
3982,Jim Thomas,1984,1991,G,6-3,190.0,1.9050000000000002
3983,Joe Thomas,1971,1971,F,6-6,205.0,1.9812000000000003
3984,John Thomas,1998,2006,F,6-9,265.0,2.0574000000000003
3985,Kenny Thomas,2000,2010,F,6-7,261.0,2.0066
3986,Kurt Thomas,1996,2013,F,6-9,230.0,2.0574000000000003
3987,Lance Thomas,2012,2018,F,6-8,235.0,2.032
3988,Malcolm Thomas,2012,2015,F,6-9,225.0,2.0574000000000003
3989,Ronald Thomas,1973,1976,F,6-6,215.0,1.9812000000000003
3990,Terry Thomas,1976,1976,F,6-8,220.0,2.032
3991,Tim Thomas,1998,2010,F,6-10,230.0,2.0828
3992,Tyrus Thomas,2007,2015,F,6-9,215.0,2.0574000000000003
3993,Willis Thomas,1968,1968,G,6-2,185.0,1.8796000000000002
3994,Trey Thompkins,2012,2012,F,6-10,245.0,2.0828
3995,Bernard Thompson,1985,1989,F,6-6,210.0,1.9812000000000003
3996,Billy Thompson,1987,1992,F,6-7,195.0,2.0066
3997,Brooks Thompson,1995,1998,G,6-4,193.0,1.9304000000000001
3998,Corny Thompson,1983,1983,F,6-8,225.0,2.032
3999,David Thompson,1976,1984,G,6-4,195.0,1.9304000000000001
4000,Dijon Thompson,2006,2007,G,6-7,195.0,2.0066
4001,George Thompson,1970,1975,G,6-2,200.0,1.8796000000000002
4002,Hollis Thompson,2014,2017,G,6-8,206.0,2.032
4003,Jack Thompson,1969,1969,G,6-1,185.0,1.8542000000000003
4004,Jason Thompson,2009,2016,F,6-11,250.0,2.1082
4005,John Thompson,1965,1966,F,6-10,225.0,2.0828
4006,Kevin Thompson,1994,1994,C,6-11,260.0,2.1082
4007,Klay Thompson,2012,2018,G,6-7,215.0,2.0066
4008,LaSalle Thompson,1983,1997,C,6-10,245.0,2.0828
4009,Mychal Thompson,1979,1991,C,6-10,226.0,2.0828
4010,Mychel Thompson,2012,2012,G,6-6,211.0,1.9812000000000003
4011,Paul Thompson,1984,1986,G,6-6,210.0,1.9812000000000003
4012,Stephen Thompson,1992,1992,G,6-4,185.0,1.9304000000000001
4013,Tristan Thompson,2012,2018,F,6-9,238.0,2.0574000000000003
4014,Skip Thoren,1968,1970,C,6-10,230.0,2.0828
4015,Rod Thorn,1964,1971,G,6-4,195.0,1.9304000000000001
4016,Al Thornton,2008,2011,F,6-8,220.0,2.032
4017,Bob Thornton,1986,1996,F,6-10,225.0,2.0828
4018,Dallas Thornton,1969,1970,G,6-4,190.0,1.9304000000000001
4019,Marcus Thornton,2010,2017,G,6-4,205.0,1.9304000000000001
4020,Sindarius Thornwell,2018,2018,G,6-5,212.0,1.9558000000000002
4021,Otis Thorpe,1985,2001,F,6-9,225.0,2.0574000000000003
4022,Sedale Threatt,1984,1997,G,6-2,175.0,1.8796000000000002
4023,Nate Thurmond,1964,1977,C,6-11,225.0,2.1082
4024,Mel Thurston,1948,1948,G,6-0,175.0,1.8288000000000002
4025,Hal Tidrick,1949,1949,F,6-1,190.0,1.8542000000000003
4026,Dan Tieman,1963,1963,G,6-0,185.0,1.8288000000000002
4027,Darren Tillis,1983,1984,C,6-11,215.0,2.1082
4028,Jack Tingle,1948,1949,F,6-4,205.0,1.9304000000000001
4029,George Tinsley,1970,1972,F,6-5,205.0,1.9558000000000002
4030,Jamaal Tinsley,2002,2014,G,6-3,195.0,1.9050000000000002
4031,Wayman Tisdale,1986,1997,F,6-9,240.0,2.0574000000000003
4032,Mike Tobey,2017,2017,C,7-0,260.0,2.1336
4033,Mike Todorovich,1950,1951,F,6-5,220.0,1.9558000000000002
4034,Ray Tolbert,1982,1989,F,6-9,225.0,2.0574000000000003
4035,Tom Tolbert,1989,1995,F,6-7,235.0,2.0066
4036,Anthony Tolliver,2009,2018,F,6-8,240.0,2.032
4037,Dean Tolson,1975,1978,F,6-8,190.0,2.032
4038,Rudy Tomjanovich,1971,1981,F,6-8,218.0,2.032
4039,Andrew Toney,1981,1988,G,6-3,178.0,1.9050000000000002
4040,Sedric Toney,1986,1994,G,6-2,178.0,1.8796000000000002
4041,Andy Tonkovich,1949,1949,G,6-1,185.0,1.8542000000000003
4042,Andy Toolson,1991,1996,G,6-6,210.0,1.9812000000000003
4043,Jack Toomay,1948,1950,C,6-6,215.0,1.9812000000000003
4044,Bernard Toone,1980,1980,F,6-9,210.0,2.0574000000000003
4045,Irv Torgoff,1947,1949,F,6-2,192.0,1.8796000000000002
4046,Gene Tormohlen,1963,1970,C,6-8,230.0,2.032
4047,Oscar Torres,2002,2003,F,6-6,210.0,1.9812000000000003
4048,Bill Tosheff,1952,1954,G,6-1,175.0,1.8542000000000003
4049,Bob Tough,1949,1950,G,6-0,185.0,1.8288000000000002
4050,Axel Toupane,2016,2017,G,6-7,197.0,2.0066
4051,Monte Towe,1976,1977,G,5-7,150.0,1.7018
4052,Keith Tower,1994,1997,C,6-11,250.0,2.1082
4053,Blackie Towery,1949,1950,F,6-4,210.0,1.9304000000000001
4054,Linton Townes,1983,1985,F,6-7,190.0,2.0066
4055,Karl-Anthony Towns,2016,2018,C,7-0,244.0,2.1336
4056,Raymond Townsend,1979,1982,G,6-3,175.0,1.9050000000000002
4057,George Trapp,1972,1977,F,6-8,205.0,2.032
4058,John Trapp,1969,1973,F,6-7,210.0,2.0066
4059,Robert Traylor,1999,2005,F,6-8,284.0,2.032
4060,Gary Trent,1996,2004,F,6-8,250.0,2.032
4061,Jeff Trepagnier,2002,2004,G,6-4,200.0,1.9304000000000001
4062,John Tresvant,1965,1973,F,6-7,215.0,2.0066
4063,Dick Triptow,1949,1950,G,6-0,170.0,1.8288000000000002
4064,Kelly Tripucka,1982,1991,F,6-6,220.0,1.9812000000000003
4065,Ansley Truitt,1973,1973,C,6-9,215.0,2.0574000000000003
4066,Cezary Trybanski,2003,2004,C,7-2,240.0,2.1844
4067,Jake Tsakalidis,2001,2007,C,7-2,285.0,2.1844
4068,John Tschogl,1973,1975,F,6-6,206.0,1.9812000000000003
4069,Lou Tsioropoulos,1957,1959,F,6-5,190.0,1.9558000000000002
4070,Nikoloz Tskitishvili,2003,2006,F,7-0,225.0,2.1336
4071,Al Tucker,1968,1972,F,6-8,190.0,2.032
4072,Alando Tucker,2008,2010,F,6-6,205.0,1.9812000000000003
4073,Anthony Tucker,1995,1995,F,6-8,220.0,2.032
4074,Jim Tucker,1955,1957,F,6-7,185.0,2.0066
4075,P.J. Tucker,2007,2018,F,6-6,245.0,1.9812000000000003
4076,Trent Tucker,1983,1993,G,6-5,193.0,1.9558000000000002
4077,Ronny Turiaf,2006,2015,F,6-10,249.0,2.0828
4078,Mirsad Turkcan,2000,2000,F,6-9,236.0,2.0574000000000003
4079,Hedo Turkoglu,2001,2015,F,6-10,220.0,2.0828
4080,Andre Turner,1987,1992,G,5-11,160.0,1.8034
4081,Bill Turner,1968,1973,F,6-7,220.0,2.0066
4082,Elston Turner,1982,1989,G,6-5,190.0,1.9558000000000002
4083,Evan Turner,2011,2018,G,6-7,220.0,2.0066
4084,Gary Turner,1968,1968,F,6-7,200.0,2.0066
4085,Henry Turner,1990,1995,G,6-7,200.0,2.0066
4086,Herschell Turner,1968,1968,G,6-2,195.0,1.8796000000000002
4087,Jack Turner,1955,1955,F,6-4,170.0,1.9304000000000001
4088,Jack Turner,1962,1962,G,6-5,200.0,1.9558000000000002
4089,Jeff Turner,1985,1996,F,6-9,230.0,2.0574000000000003
4090,John Turner,1992,1992,F,6-8,245.0,2.032
4091,Myles Turner,2016,2018,C,6-11,243.0,2.1082
4092,Wayne Turner,2000,2000,G,6-2,190.0,1.8796000000000002
4093,Melvin Turpin,1985,1990,C,6-11,240.0,2.1082
4094,Dave Twardzik,1973,1980,G,6-1,175.0,1.8542000000000003
4095,Jack Twyman,1956,1966,F,6-6,210.0,1.9812000000000003
4096,B.J. Tyler,1995,1995,G,6-1,185.0,1.8542000000000003
4097,Jeremy Tyler,2012,2014,C,6-10,260.0,2.0828
4098,Terry Tyler,1979,1989,F,6-7,215.0,2.0066
4099,Charlie Tyra,1958,1962,C,6-8,230.0,2.032
4100,Edwin Ubiles,2012,2012,G,6-6,204.0,1.9812000000000003
4101,Ekpe Udoh,2011,2018,C,6-10,240.0,2.0828
4102,Ime Udoka,2004,2011,F,6-6,215.0,1.9812000000000003
4103,Beno Udrih,2005,2017,G,6-3,205.0,1.9050000000000002
4104,Roko Ukic,2009,2010,G,6-5,183.0,1.9558000000000002
4105,Tyler Ulis,2017,2018,G,5-10,150.0,1.778
4106,Wes Unseld,1969,1981,C,6-7,245.0,2.0066
4107,Hal Uplinger,1954,1954,G,6-4,185.0,1.9304000000000001
4108,Kelvin Upshaw,1989,1991,G,6-2,180.0,1.8796000000000002
4109,Jarrod Uthoff,2017,2017,F,6-9,221.0,2.0574000000000003
4110,Ben Uzoh,2011,2012,G,6-3,205.0,1.9050000000000002
4111,Stephen Vacendak,1968,1970,G,6-1,185.0,1.8542000000000003
4112,Jonas Valanciunas,2013,2018,C,7-0,265.0,2.1336
4113,Darnell Valentine,1982,1991,G,6-1,183.0,1.8542000000000003
4114,Denzel Valentine,2017,2018,G,6-6,212.0,1.9812000000000003
4115,Ronnie Valentine,1981,1981,F,6-7,210.0,2.0066
4116,John Vallely,1971,1972,G,6-3,185.0,1.9050000000000002
4117,Dick Van Arsdale,1966,1977,G,6-5,210.0,1.9558000000000002
